COUNTRY,ISO3,WHO_REGION,TOTAL_VACCINATIONS,TOTAL_VACCINATIONS_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Tokelau,TKL,WPRO,968,71.704,Pfizer BioNTech - Comirnaty,7/20/21,1
Tonga,TON,WPRO,66629,63.039,AstraZeneca - Vaxzevria,4/14/21,1
Trinidad and Tobago,TTO,AMRO,879807,62.866,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/21,4
Tunisia,TUN,EMRO,5646781,47.779,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/13/21,5
Turkey,TUR,EURO,92710374,109.926,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac",,2
Turkmenistan,TKM,EURO,41993,0.696,"SRCVB - EpiVacCorona, AstraZeneca - AZD1222, Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,4
Turks and Caicos Islands,TCA,AMRO,49107,126.832,Pfizer BioNTech - Comirnaty,1/11/21,1
Tuvalu,TUV,WPRO,8289,70.293,AstraZeneca - Vaxzevria,4/13/21,1
Uganda,UGA,AFRO,1163451,2.544,SII - Covishield,3/10/21,1
Ukraine,UKR,EURO,8890163,20.328,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac",,4
United Arab Emirates,ARE,EMRO,18095160,182.957,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/20,5
United Republic of Tanzania,TZA,AFRO,218621,0.366,Janssen - Ad26.COV 2.5,,1
United States of America,USA,AMRO,367316149,110.971,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/14/20,3
Uruguay,URY,AMRO,5436311,156.498,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/27/21,3
Uzbekistan,UZB,EURO,12103334,36.163,"AstraZeneca - AZD1222, RBD-Dimer, Gamaleya - Sputnik V",,3
Vanuatu,VUT,WPRO,38236,12.449,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",6/2/21,2
Venezuela (Bolivarian Republic of),VEN,AMRO,9150998,32.181,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Wuhan CNBG - Inactivated",2/22/21,3
Viet Nam,VNM,WPRO,16306199,16.752,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",3/8/21,5
Wallis and Futuna,WLF,WPRO,9276,82.483,Moderna - mRNA-1273,3/19/21,1
Yemen,YEM,EMRO,311483,1.044,SII - Covishield,4/20/21,1
Zambia,ZMB,AFRO,503707,2.74,SII - Covishield,4/14/21,1
Zimbabwe,ZWE,AFRO,3772579,25.382,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Sinovac - CoronaVac",2/18/21,3
